player_name,first_name,middle_name,last_name,nick_name,suffix,player_url
Bobby Clark,Bobby,,Clark,,,https://www.baseball-almanac.com/players/player.php?p=clarkbo04
Bobby Cox,Bobby,,Cox,,,https://www.baseball-almanac.com/players/player.php?p=coxbo01
Bobby Darwin,Bobby,,Darwin,,,https://www.baseball-almanac.com/players/player.php?p=darwibo01
Bobby Etheridge,Bobby,,Etheridge,,,https://www.baseball-almanac.com/players/player.php?p=etherbo01
Bobby Floyd,Bobby,,Floyd,,,https://www.baseball-almanac.com/players/player.php?p=floydbo01
Bobby Grich,Bobby,,Grich,,,https://www.baseball-almanac.com/players/player.php?p=grichbo01
Bobby Knoop,Bobby,,Knoop,,,https://www.baseball-almanac.com/players/player.php?p=knoopbo01
Bobby Mattick,Bobby,,Mattick,,,https://www.baseball-almanac.com/players/player.php?p=mattibo01
Bobby Mitchell,Bobby,,Mitchell,,,https://www.baseball-almanac.com/players/player.php?p=mitchbo03
Bobby Murcer,Bobby,,Murcer,,,https://www.baseball-almanac.com/players/player.php?p=murcebo01
Bobby Pfeil,Bobby,,Pfeil,,,https://www.baseball-almanac.com/players/player.php?p=pfeilbo01
Bobby Ramos,Bobby,,Ramos,,,https://www.baseball-almanac.com/players/player.php?p=ramosbo01
Bobby Thigpen,Bobby,,Thigpen,,,https://www.baseball-almanac.com/players/player.php?p=thigpbo01
Bobby Thompson,Bobby,,Thompson,,,https://www.baseball-almanac.com/players/player.php?p=thompbo01
Bobby Tolan,Bobby,,Tolan,,,https://www.baseball-almanac.com/players/player.php?p=tolanbo01
Bobby Valentine,Bobby,,Valentine,,,https://www.baseball-almanac.com/players/player.php?p=valenbo02
Bobby Wine,Bobby,,Wine,,,https://www.baseball-almanac.com/players/player.php?p=winebo01
Bobby Witt,Bobby,,Witt,,,https://www.baseball-almanac.com/players/player.php?p=wittbo01
Bombo Rivera,Bombo,,Rivera,,,https://www.baseball-almanac.com/players/player.php?p=riverbo01
Boog Powell,Boog,,Powell,,,https://www.baseball-almanac.com/players/player.php?p=powelbo01
Boots Day,Boots,,Day,,,https://www.baseball-almanac.com/players/player.php?p=daybo01
Brad Arnsberg,Brad,,Arnsberg,,,https://www.baseball-almanac.com/players/player.php?p=arnsbbr01
