player_name,first_name,middle_name,last_name,nick_name,suffix,player_url,player_id
Bob Lacey,Bob,NULL,Lacey,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=laceybo01,224
Bob Lemon,Bob,NULL,Lemon,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=lemonbo01,225
Bob Lillis,Bob,NULL,Lillis,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=lillibo01,226
Bob Locker,Bob,NULL,Locker,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=lockebo02,227
Bob McClure,Bob,NULL,McClure,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mcclubo01,228
Bob Meacham,Bob,NULL,Meacham,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=meachbo01,229
Bob Melvin,Bob,NULL,Melvin,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=melvibo01,230
Bob Meyer,Bob,NULL,Meyer,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=meyerbo01,231
Bob Milacki,Bob,NULL,Milacki,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=milacbo01,232
Bob Miller,Bob,NULL,Miller,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=millebo01,233
