card_desc,card_notes,card_player_url,dups,player_id
Brad Wellman,,https://www.baseball-almanac.com/players/player.php?p=wellmbr01,,296
Brady Anderson,,https://www.baseball-almanac.com/players/player.php?p=anderbr01,,297
Brant Alyea,,https://www.baseball-almanac.com/players/player.php?p=alyeabr01,,298
Brent Gaff,,https://www.baseball-almanac.com/players/player.php?p=gaffbr01,,299
Brent Strom,,https://www.baseball-almanac.com/players/player.php?p=strombr01,,300
Bret Saberhagen,,https://www.baseball-almanac.com/players/player.php?p=saberbr01,,301
Brett Butler,,https://www.baseball-almanac.com/players/player.php?p=butlebr01,,302
Brian Allard,,https://www.baseball-almanac.com/players/player.php?p=allarbr01,,303
Brian Asselstine,,https://www.baseball-almanac.com/players/player.php?p=asselbr01,,304
Brian Dayett,,https://www.baseball-almanac.com/players/player.php?p=dayetbr01,,305
Brian Downing,,https://www.baseball-almanac.com/players/player.php?p=downibr01,,306
Brian Doyle,,https://www.baseball-almanac.com/players/player.php?p=doylebr01,,307
Brian DuBois,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=duboibr01,,308
Brian Fisher,,https://www.baseball-almanac.com/players/player.php?p=fishebr01,,309
Brian Giles,,https://www.baseball-almanac.com/players/player.php?p=gilesbr01,,310
Brian Harper,,https://www.baseball-almanac.com/players/player.php?p=harpebr01,,311
Brian Holton,,https://www.baseball-almanac.com/players/player.php?p=holtobr01,,312
Brian Kingman,,https://www.baseball-almanac.com/players/player.php?p=kingmbr01,,313
Brian Snyder,,https://www.baseball-almanac.com/players/player.php?p=snydebr01,,314
Britt Burns,,https://www.baseball-almanac.com/players/player.php?p=burnsbr01,,315
Brock Davis,,https://www.baseball-almanac.com/players/player.php?p=davisbr02,,316
Broderick Perkins,,https://www.baseball-almanac.com/players/player.php?p=perkibr01,,317
Brook Jacoby,,https://www.baseball-almanac.com/players/player.php?p=jacobbr01,,318
Brooks Robinson,,https://www.baseball-almanac.com/players/player.php?p=robinbr01,,319
Bruce Benedict,,https://www.baseball-almanac.com/players/player.php?p=benedbr01,,320
Bruce Berenyi,,https://www.baseball-almanac.com/players/player.php?p=berenbr01,,321
Bruce Bochte,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=bochtbr01,,322
Bruce Bochy,,https://www.baseball-almanac.com/players/player.php?p=bochybr01,,323
Bruce Boisclair,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=boiscbr01,,324
Bruce Dal Canton,,https://www.baseball-almanac.com/players/player.php?p=dalcabr01,,325
Bruce Ellingsen,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=ellinbr01,,326
Bruce Fields,,https://www.baseball-almanac.com/players/player.php?p=fieldbr01,,327
Bruce Hurst,,https://www.baseball-almanac.com/players/player.php?p=hurstbr01,,328
Bruce Kimm,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=kimmbr01,,329
Bruce Kison,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=kisonbr01,,330
Bruce Miller,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=millebr01,,331
